Feature ID	Taxon	Confidence
8c7dd795218624e2cf2f1f0db128c1ac	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.7017237192922239
92f1720367db58c68a96eceb9feb416a	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Beijerinckiaceae; g__Methylobacterium; s__Methylorubrum pseudosasae	0.7455141310419083
7424924c58bcbf2d7c48ade7308d3b57	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.9999999999999005
2f7db29d89aa3dce7453fcc7348598e9	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae	0.9999999539978945
75b3b181726994cc1dc5f07b22f72ae3	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.9998896297369315
4608fae4bbc9964cdd17af8782f2155e	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421	0.9999999994642095
e4c616e0e34cf5f3837203933c18e498	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium_A_383321	0.9988411429074888
206d00445a497d2441220533e0f6435a	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Cellulomonadaceae; g__Sanguibacter	0.9623348110556166
0b36c352632cb1346cdc7d73f9fb376c	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Pseudomonas_E_647464	0.9949664320982327
c06ccd1f7d57566ef669942328b1a946	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae	0.9999999952527406
d99d3eeff63e89781b87c285b934a653	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Micromonosporaceae	0.9999901660076007
a3b2b02aac7249a0f4925e18ecc926c2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.9999999999980674
fcd80f0cf279eff3c50b66a78d98beeb	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Pseudonocardiaceae	0.9999998093227611
b3bc75b5a73133d32c26ffd8ae90d41d	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__; s__	0.9999214637994993
86d6db0b6e15510fa5d27ceae8fd5e0d	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Pseudomonas_E_647464	0.9985157744211985
a76e065bdfde0aa883c898ccf5f092fc	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704	0.9999367739714957
50d3116d6a3a0519127f1aa086236748	d__Bacteria	0.850476567554841
547b78057390d8dd87e029218928ab3c	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Devosiaceae; g__Devosia_A_502124; s__Devosia_A_502124 limi	0.9809836331925355
f6c528c217081be9871de0fc58b89408	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Variovorax; s__Variovorax paradoxus_C	0.7555516004349816
9d3014687cc314a25421c364f680a4ff	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales_B; f__Cyclobacteriaceae; g__Chryseotalea; s__	0.7760923431740996
453cf07d3e96e304f23fbde7b355fe70	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Frigoribacterium; s__Frigoribacterium sp001424645	0.7473851477838771
374b724806294b861c4ed5cfb74e2f31	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium sp001424705	0.9910423820803022
d6efd2da2728fd74ded268122ee05036	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704	0.9992746452146802
1fa19a198819b145e52bb266e4e7840b	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704; s__Sphingomonas_L_486704 phyllosphaerae	0.7054069184221594
a26da340960942d894b28559f2430838	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium	0.9999999999989149
8df2b2e6c1cb64bd18b81d5bae7f0898	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Telluria_573210	0.8509641727184741
7396a40753488c53d367a1682ccca0a3	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Frigoribacterium; s__Frigoribacterium sp001424645	0.941099732282283
4fd3b482f9c69c0ed6977496a8ab9aff	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.9999999999998153
1c0a3725f25027e98ff6aea763fbb4d2	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes	0.9015433612113944
f30d9ea6d84d5a12d5edcce200accc4e	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	1.0
